corridor,median_delay_ratio
IND212402AAA → IND211002AAB,31.78787878787879
IND785634AAA → IND785001AAA,31.2
IND208012AAA → IND209304AAA,27.2
IND416606AAA → IND416510AAA,26.880917874396133
IND842003AAB → IND482002AAA,23.1875
IND424304AAC → IND424006AAA,22.313662790697673
IND425405AAA → IND424006AAA,21.185586734693878
IND722140AAA → IND723130AAA,19.130434782608695
IND121002AAA → IND121004AAB,19.083333333333332
IND221313AAA → IND221401AAA,16.714285714285715
IND151103AAA → IND151001AAA,15.672364672364672
IND743270AAA → IND712311AAA,15.35135135135135
IND741201AAC → IND712311AAA,15.271929824561404
IND785112AAC → IND785001AAA,15.085526315789474
IND493445AAB → IND490023AAA,14.40983606557377
IND482002AAA → IND842003AAB,14.375
IND722151AAA → IND723130AAA,14.207738095238096
IND425412AAA → IND424006AAA,13.835443037974683
IND518002AAA → IND518206AAA,12.244285714285713
IND208017AAA → IND209304AAA,12.181818181818182
IND425409AAA → IND424006AAA,12.08108108108108
IND788713AAA → IND788026AAC,12.033333333333333
IND844505AAB → IND842001AAA,11.357466063348415
IND424201AAA → IND424006AAA,10.552238805970148
IND221010AAB → IND233001AAA,10.491071428571427
IND431131AAB → IND431603AAA,10.401964020465424
IND221313AAA → IND222136AAA,10.39375
IND847223AAA → IND842001AAA,9.953846153846154
IND395009AAA → IND395023AAD,9.666666666666666
IND501359AAE → IND501218AAC,9.51388888888889
IND400072AAI → IND000000AFS,9.416666666666666
IND395001AAA → IND395023AAD,9.329670329670328
IND847226AAA → IND842001AAA,9.209876543209877
IND302026AAA → IND302014AAB,9.161764705882353
IND400072AAJ → IND400037AAA,9.0
IND531001AAA → IND530012AAA,8.636363636363637
IND395006AAA → IND395023AAD,8.566666666666666
IND751002AAB → IND754103AAA,8.547619047619047
IND571213AAA → IND570020AAA,8.47887323943662
IND147105AAA → IND160002AAC,8.45225916453538
IND847404AAB → IND842001AAA,8.294856459330143
IND208019AAA → IND209304AAA,8.1875
IND211008AAA → IND211002AAB,8.165178571428571
IND207123AAA → IND202001AAB,8.098039215686274
IND671315AAA → IND575004AAB,8.01923076923077
IND249201AAA → IND249407AAA,7.88
IND721102AAA → IND712311AAA,7.73804347826087
IND401602AAA → IND401501AAA,7.344827586206897
IND523201AAA → IND523002AAA,7.2631578947368425
IND175015AAA → IND174001AAA,7.2631578947368425
IND829121AAA → IND834002AAB,7.236363636363636
IND562125AAA → IND000000ACS,7.125
IND695101AAB → IND695012AAA,7.064516129032258
IND147101AAA → IND160002AAC,7.017241379310345
IND201306AAA → IND201304AAA,6.866666666666666
IND390020AAA → IND390022AAA,6.857142857142857
IND462021AAA → IND462001AAA,6.7272727272727275
IND283122AAB → IND282005AAA,6.590909090909091
IND621112AAA → IND620012AAA,6.458333333333333
IND221313AAA → IND221010AAA,6.375
IND274001AAA → IND273014AAB,6.323529411764706
IND573116AAA → IND571426AAA,6.293103448275862
IND443201AAA → IND000000AAZ,6.25
IND242001AAA → IND242307AAB,6.230769230769231
IND208006AAA → IND209304AAA,6.178571428571429
IND563101AAB → IND560300AAB,6.163636363636364
IND828111AAA → IND826004AAA,6.136363636363637
IND686028AAB → IND686632AAA,6.095238095238095
IND395004AAB → IND395023AAD,6.090909090909091
IND000000AAQ → IND700028AAB,6.071428571428571
IND600032AAB → IND600008AAC,6.0
IND722154AAA → IND712311AAA,5.833333333333333
IND321001AAA → IND301001AAB,5.826086956521739
IND821109AAA → IND802213AAB,5.753787878787879
IND302020AAA → IND302014AAB,5.75
IND485001AAC → IND486771AAA,5.698630136986301
IND370001AAA → IND370201AAA,5.695652173913044
IND700065AAB → IND712310AAA,5.666193181818182
IND131028AAB → IND250002AAC,5.625
IND713205AAB → IND722101AAB,5.62
IND600004AAA → IND600008AAC,5.6
IND521165AAA → IND521225AAB,5.567692307692307
IND500050AAA → IND501218AAC,5.566666666666666
IND331701AAA → IND125001AAA,5.484375
IND842001AAA → IND843320AAA,5.375
IND244901AAB → IND243503AAB,5.2993006993007
IND485771AAA → IND486771AAA,5.285714285714286
IND209304AAA → IND208019AAA,5.258241758241758
IND181201AAB → IND181152AAB,5.240384615384615
IND211002AAB → IND211013AAA,5.222222222222222
IND000000AFT → IND400706AAA,5.222222222222222
IND712602AAA → IND712311AAA,5.206896551724138
IND201301AAD → IND110037AAM,5.1923076923076925
IND636005AAA → IND636005AAC,5.083333333333333
IND712124AAA → IND712310AAE,5.076923076923077
IND391110AAD → IND390022AAA,5.041666666666666
IND274304AAA → IND274304AAB,5.038461538461538
IND700136AAB → IND712311AAA,5.0
IND400016AAB → IND400072AAB,5.0
IND403401AAA → IND403726AAB,4.99055829228243
IND580002AAA → IND580028AAA,4.979166666666666
IND732139AAA → IND732103AAB,4.959183673469388
IND501401AAC → IND500010AAA,4.933333333333334
IND201007AAA → IND201007AAB,4.898496240601504
IND122001AAA → IND122050AAA,4.892857142857143
IND781124AAA → IND781018AAB,4.880208333333334
IND411033AAB → IND411057AAF,4.86060606060606
IND000000AFF → IND734203AAA,4.842105263157895
IND411048AAA → IND411014AAA,4.8125
IND571105AAA → IND571114AAA,4.804166666666667
IND461001AAA → IND461111AAA,4.785714285714286
IND530012AAA → IND764020AAC,4.714285714285714
IND400706AAA → IND000000AFT,4.712121212121212
IND205001AAB → IND283203AAA,4.689655172413793
